LATIN;Prose;Poetry;Medieval;Total
utcumque;3;1;3;7
Veii;7;0;0;7
venatio;3;0;4;7
vesanus;0;6;1;7
vescor;2;2;3;7
Vesta;1;5;1;7
vetulus;1;1;5;7
vicesimus;3;2;2;7
vicissim;0;2;5;7
viduus;0;6;1;7
vitiosus;3;1;3;7
vitreus;0;6;1;7
vitta;0;7;0;7
vitulus;0;5;2;7
vocalis;0;6;1;7
vocito;1;1;5;7
Waltharius;0;0;7;7
abhorreo;3;0;3;6
adiutor;3;0;3;6
adultus;0;4;2;6
Aegyptius;0;1;5;6
alibi;5;1;0;6
alveus;1;4;1;6
alvus;1;3;2;6
ambitus;1;3;2;6
amplexor;2;0;4;6
angulus;0;2;4;6
annuus;0;5;1;6
antistes;0;2;4;6
apex;0;5;1;6
apostolicus;0;0;6;6
arbiter;1;3;2;6
argutus;0;6;0;6
artifex;2;1;3;6
artus, adj.;3;1;2;6
Ascanius;0;3;3;6
asellus;0;2;4;6
Attila;0;0;6;6
audacia;4;0;2;6
aufugio;2;1;3;6
auriga;1;3;2;6
barathrum;0;3;3;6
caballus;0;2;4;6
cadaver;1;0;5;6
caelicola;0;4;2;6
calix;0;2;4;6
camera;1;1;4;6
carnifex;1;2;3;6
cervus;1;3;2;6
circumfero;4;0;2;6
circus;3;3;0;6
coenobium;0;0;6;6
coerceo;2;2;2;6
colus;0;6;0;6
commercium;1;4;1;6
commoror;0;0;6;6
communico;6;0;0;6
compar;0;3;3;6
compesco;2;4;0;6
computo;2;2;2;6
concieo;0;4;2;6
concresco;1;5;0;6
confringo;1;0;5;6
coniuro;2;2;2;6
connecto;2;0;4;6
consolor;2;1;3;6
consono;2;0;4;6
constantia;3;0;3;6
Constantinopolis;0;0;6;6
Constantinus;0;0;6;6
consultum;4;1;1;6
contemplor;3;1;2;6
contero;0;3;3;6
contumax;2;3;1;6
contumeliosus;1;1;4;6
converso;0;0;6;6
convicium;1;4;1;6
copulo;1;2;3;6
corymbus;0;6;0;6
creatura;0;0;6;6
crocus;0;6;0;6
cultor;1;5;0;6
curriculum;1;2;3;6
cuspis;1;4;1;6
Cyllenius;1;5;0;6
Cyntbia;0;6;0;6
decerpo;1;4;1;6
decoro;0;3;3;6
dedecus;3;1;2;6
defessus;3;3;0;6
defleo;0;6;0;6
defugio;2;3;1;6
delabor;1;5;0;6
delictum;4;2;0;6
demens;0;6;0;6
Demosthenes;2;1;3;6
depereo;1;2;3;6
deputo;0;1;5;6
desipio;0;1;5;6
desolo;1;2;3;6
despondeo;0;3;3;6
detego;4;2;0;6
diffido;4;1;1;6
Dione;0;6;0;6
displiceo;1;2;3;6
dissensio;4;0;2;6
dissimilis;3;2;1;6
dissolvo;1;3;2;6
dito;0;2;4;6
diurnus;2;2;2;6
divinatio;2;0;4;6
documentum;2;1;3;6
dolium;1;3;2;6
elaboro;2;1;3;6
electio;1;0;5;6
emereo;0;6;0;6
Epicurus;3;3;0;6
evello;2;0;4;6
evolo;2;4;0;6
exagito;2;2;2;6
excuso;0;1;5;6
exordium;1;2;3;6
expeditio;4;0;2;6
exsurgo;1;1;4;6
exta;1;5;0;6
extemplo;5;1;0;6
facetus;0;4;2;6
fastus, adj.;0;4;2;6
favus;3;2;1;6
Februarius;0;6;0;6
fiducia;4;1;1;6
findo;1;3;2;6
flagito;1;2;3;6
forceps;0;0;6;6
freno;3;3;0;6
fugitivus;1;1;4;6
fulgur;1;3;2;6
galea;0;5;1;6
gemmeus;0;5;1;6
generalis;0;0;6;6
Germanus;5;0;1;6
gestio;0;4;2;6
glans;2;4;0;6
gleba;1;4;1;6
globus;3;2;1;6
Gorgo;0;6;0;6
Gracchus;5;1;0;6
Grauso;0;0;6;6
grus;0;2;4;6
guttur;0;2;4;6
habilis;2;1;3;6
haruspex;4;2;0;6
Hippolytus;0;4;2;6
honestas;3;0;3;6
ianitor;0;4;2;6
identidem;3;2;1;6
idoneus;3;2;1;6
ieiunium;0;1;5;6
ignobilis;3;2;1;6
ilex;1;5;0;6
imbellis;1;5;0;6
impedimentum;2;0;4;6
impertio;3;1;2;6
imploro;3;1;2;6
imprimo;1;0;5;6
imputo;2;2;2;6
infidus;0;4;2;6
infirmo;0;0;6;6
informis;1;4;1;6
ingenuus;2;4;0;6
inhaereo;0;2;4;6
instar;1;5;0;6
intercipio;5;1;0;6
intolerabilis;0;0;6;6
intromitto;0;0;6;6
irrumpo;5;0;1;6
iugalis;0;6;0;6
Iulia;1;5;0;6
iumentum;5;0;1;6
iunior;3;0;3;6
iuvenilis;3;2;1;6
lacteus;1;4;1;6
laicus;0;0;6;6
lampas;0;6;0;6
largitas;1;1;4;6
lascivio;2;0;4;6
laudabilis;1;0;5;6
Laurentius;0;5;1;6
lepidus;1;4;1;6
letalis;1;3;2;6
Lethaeus;0;6;0;6
levitas;1;1;4;6
longaevus;0;6;0;6
luctor;2;4;0;6
lugubris;2;4;0;6
luteus;0;5;1;6
Lydius;0;6;0;6
Macer;2;4;0;6
magicus;0;4;2;6
mansuesco;1;2;3;6
Mantua;0;5;1;6
margarita;1;1;4;6
marmoreus;0;6;0;6
Martialis;0;6;0;6
Mavors;0;6;0;6
mehercle;6;0;0;6
melos;0;2;4;6
mensura;2;1;3;6
milito;2;4;0;6
minitor;3;3;0;6
minutus;0;1;5;6
mulus;1;0;5;6
mysterium;1;1;4;6
mysticus;0;0;6;6
navalis;3;2;1;6
Neptunus;0;6;0;6
nequitia;2;3;1;6
Nereis;0;6;0;6
nervus;1;3;2;6
neuter;2;1;3;6
noxa;3;2;1;6
nurus;1;4;1;6
obduco;2;3;1;6
obedio;0;0;6;6
obsecro;1;2;3;6
obsidio;5;0;1;6
obstinatus;3;2;1;6
occurso;4;2;0;6
opportunitas;4;0;2;6
orbita;0;6;0;6
ostento;3;1;2;6
ostrum;0;6;0;6
Ovidius;5;1;0;6
pagus;2;2;2;6
Pallas;1;0;5;6
palmes;0;5;1;6
pascuum;0;4;2;6
penes;1;1;4;6
pernicies;2;3;1;6
perpendo;3;0;3;6
perpetior;0;1;5;6
perpetra;1;0;5;6
Perseus;0;5;1;6
persolvo;0;3;3;6
pertinax;2;3;1;6
pervolo;1;5;0;6
petitio;1;0;5;6
petra;0;0;6;6
plausus;2;4;0;6
poema;3;0;3;6
pompa;0;6;0;6
populor;2;4;0;6
porcus;0;1;5;6
praeses;1;5;0;6
praesideo;2;1;3;6
praetermitto;3;0;3;6
praevaleo;1;0;5;6
praevenio;3;0;3;6
pridie;3;0;3;6
proclamo;2;4;0;6
prodigus;1;1;4;6
proditor;2;1;3;6
proelior;5;0;1;6
profluo;1;1;4;6
Propertius;0;6;0;6
Proserpina;1;5;0;6
protero;2;2;2;6
providentia;2;0;4;6
pueritia;4;0;2;6
pumex;3;3;0;6
pumiceus;0;6;0;6
Q.;5;0;1;6
quantitas;0;0;6;6
quasso;2;3;1;6
rapax;0;6;0;6
reclino;2;1;3;6
recreo;1;3;2;6
redoleo;0;4;2;6
regimen;1;0;5;6
reicio;2;3;1;6
religo;1;2;3;6
rependo;0;4;2;6
reputo;4;0;2;6
respiro;0;4;2;6
resupinus;1;5;0;6
Rhodope;0;6;0;6
rigeo;0;4;2;6
rigo;0;5;1;6
rigor;1;3;2;6
rimor;0;2;4;6
rixa;0;5;1;6
roro;0;6;0;6
rotundus;2;1;3;6
saepes;0;2;4;6
saeptum;0;3;3;6
Scamander;4;2;0;6
scandalum;0;0;6;6
seduco;0;2;4;6
sella;2;3;1;6
senator;4;0;2;6
senilis;1;3;2;6
servitus;5;0;1;6
sexaginta;4;0;2;6
sexus;2;3;1;6
sicco;0;6;0;6
sincerus;0;4;2;6
Socrates;2;3;1;6
spatha;0;0;6;6
spiculum;0;4;2;6
stabulum;0;4;2;6
stoicus;3;2;1;6
subsidium;4;0;2;6
subtilitas;0;6;0;6
subverto;2;0;4;6
sudor;1;3;2;6
suscito;0;3;3;6
suspicio, n.;5;0;1;6
susurrus;0;3;3;6
tabernaculum;5;0;1;6
tegmen;1;5;0;6
temperies;0;3;3;6
tepidus;0;5;1;6
Theseus;0;6;0;6
Tiberis;2;4;0;6
tondeo;1;3;2;6
traduco;2;4;0;6
tragicus;1;4;1;6
tranagredior;3;2;1;6
trini;1;3;2;6
trucido;6;0;0;6
Turnus;0;6;0;6
ubinam;0;1;5;6
ululo;1;5;0;6
umbro;2;3;1;6
usurpo;2;4;0;6
utrum;4;0;2;6
vanitas;0;0;6;6
vasto;4;0;2;6
verro;0;6;0;6
villicus;3;2;1;6
vindicta;1;1;4;6
virgultum;2;2;2;6
vociferor;1;1;4;6
Vulcanus;2;2;2;6
vulnero;2;0;4;6
abluo;0;1;4;5
abripio;3;1;1;5
accelero;2;1;2;5
acerbitas;5;0;0;5
Acme;0;5;0;5
actio;1;0;4;5
acuo;1;2;2;5
adveho;1;2;2;5
agger;1;4;0;5
Aldo;0;0;5;5
alea;1;3;1;5
altrix;0;4;1;5
antiquitus;2;3;0;5
apparatus;3;0;2;5
arbustulum;0;0;5;5
arcesso;2;2;1;5
Armenia;1;4;0;5
as;4;1;0;5
asinus;0;3;2;5
asporto;0;0;5;5
assisto;2;1;2;5
Aufidus;3;2;0;5
Bassus;4;1;0;5
bello;2;3;0;5
bibliotheca;2;0;3;5
blanditia;0;4;1;5
Bomilear;5;0;0;5
brevitas;3;0;2;5
caelebs;0;5;0;5
calathus;0;5;0;5
cancer;1;2;2;5
cantilena;0;0;5;5
Capella;0;4;1;5
casia;0;5;0;5
Castor;0;4;1;5
caupo;4;0;1;5
caverna;0;4;1;5
censor;3;2;0;5
Centaurus;0;5;0;5
Chimaera;0;4;1;5
circuitus;2;2;1;5
circumduco;3;0;2;5
circumfundo;3;2;0;5
citerior;4;1;0;5
claudus;0;0;5;5
comminus;3;2;0;5
commodo;1;0;4;5
compello,-are;1;2;2;5
compes;1;3;1;5
conculco;1;0;4;5
confertus;3;0;2;5
confligo;1;2;2;5
connitor;4;1;0;5
conquiro;3;0;2;5
consanguineus;1;1;3;5
consimilis;1;2;2;5
consulatus;5;0;0;5
consummo;1;0;4;5
contiguus;1;1;3;5
contundo;0;5;0;5
convinco;3;2;0;5
cornix;2;3;0;5
Corydon;0;5;0;5
credulus;0;4;1;5
crepito;0;5;0;5
croceus;0;5;0;5
Croesus;1;4;0;5
culmus;0;3;2;5
cutis;0;1;4;5
deambulo;0;0;5;5
deauro;0;0;5;5
December;0;3;2;5
decerto;1;0;4;5
decorus;0;5;0;5
defodio;2;3;0;5
deglutio;0;0;5;5
delectatio;1;0;4;5
delphinus;0;5;0;5
demergo;0;3;2;5
Demophoon;0;5;0;5
demoror;0;0;5;5
deporto;1;0;4;5
deposco;5;0;0;5
depravo;1;0;4;5
desidiosus;1;1;3;5
desuper;0;1;4;5
detrecto;2;3;0;5
dialectica;0;0;5;5
diffugio;2;2;1;5
dilato;1;0;4;5
Diomedes;1;3;1;5
diruo;2;2;1;5
discors;2;2;1;5
disertus;1;2;2;5
disicio;3;2;0;5
dispenso;0;3;2;5
distribuo;1;1;3;5
diuturnus;3;1;1;5
duntaxat;3;0;2;5
Dyrrachim;5;0;0;5
ecquis;1;4;0;5
edomo;0;4;1;5
effluo;2;3;0;5
elicio;2;3;0;5
ephebus;0;5;0;5
equito;1;0;4;5
esurio;1;0;4;5
Euphrates;2;3;0;5
evanesco;0;0;5;5
evigilo;0;1;4;5
evomo;0;2;3;5
excello;3;1;1;5
excerpo;3;0;2;5
eximius;3;1;1;5
expugno;4;0;1;5
exsupero;1;4;0;5
exterus;2;0;3;5
falcatus;0;1;4;5
familiaritas;2;0;3;5
fanum;1;4;0;5
fastidio;2;1;2;5
febris;0;2;3;5
festivus;0;1;4;5
fides, -is;0;2;3;5
fluctuo;0;2;3;5
foedo;0;5;0;5
fornax;0;2;3;5
fortuitus;4;0;1;5
fragro;0;3;2;5
Francio;0;0;5;5
fraudulentus;0;1;4;5
fretus;2;3;0;5
frumentarius;5;0;0;5
frustro;0;3;2;5
fulcrum;0;4;1;5
funestus;2;3;0;5
gemmo;0;5;0;5
genialis;0;5;0;5
glacialis;0;2;3;5
Glaucus;0;5;0;5
gracilis;0;4;1;5
grassor;2;2;1;5
gratiosus;1;0;4;5
grossus;0;0;5;5
gubernator;2;0;3;5
Hadrianus;0;5;0;5
Hasdrubal;4;1;0;5
Hebraeus;0;0;5;5
Hermus;0;5;0;5
Hiberus;1;4;0;5
hio;1;4;0;5
hirsutus;0;3;2;5
homicidium;0;0;5;5
humor;0;1;4;5
Hybla;0;5;0;5
iecur;0;3;2;5
illumino;1;1;3;5
illustro;1;2;2;5
imbrifer;0;5;0;5
immergo;1;2;2;5
immoderatus;2;1;2;5
imperito;3;1;1;5
imperitus;4;0;1;5
impudens;1;2;2;5
inauro;2;2;1;5
incarnatio;0;0;5;5
incestus;1;0;4;5
incommodus;1;1;3;5
inconsultus;3;1;1;5
incurvus;0;3;2;5
indigena;0;0;5;5
indigeo;0;0;5;5
Indiges;0;3;2;5
inebrio;0;0;5;5
inevitabilis;1;2;2;5
ingeniosus;1;2;2;5
inhibeo;1;0;4;5
iniquitas;1;0;4;5
iniussus;3;2;0;5
innascor;1;0;4;5
innumerabilis;0;2;3;5
inservio;1;0;4;5
insignitus;1;0;4;5
insisto;3;1;1;5
insuesco;0;3;2;5
insurgo;1;0;4;5
internuntius;1;0;4;5
interpello;2;0;3;5
interpretor;3;0;2;5
intonsus;1;0;4;5
inultus;2;2;1;5
iocor;1;2;2;5
iubilo;0;0;5;5
laboriosus;1;4;0;5
Lacaena;0;5;0;5
lacrimosus;0;0;5;5
laetifico;0;0;5;5
lamina;1;3;1;5
lanio;2;3;0;5
lapideus;4;0;1;5
laquear;0;2;3;5
latitudo;3;0;2;5
laureus;0;3;2;5
leaena;0;5;0;5
lego, -are;4;0;1;5
lenio;3;1;1;5
Lentulus;5;0;0;5
Libya;0;5;0;5
Libyaus;0;5;0;5
liquesco;2;2;1;5
loquax;0;5;0;5
macero;0;3;2;5
machinor;0;1;4;5
macto;0;5;0;5
mactus;1;4;0;5
maculo;0;4;1;5
manifesto;0;0;5;5
mansio;0;0;5;5
Marsus;0;5;0;5
Maugrinus;0;0;5;5
medeor;0;4;1;5
mercator;1;1;3;5
meto;0;1;4;5
Minos;0;5;0;5
misellus;1;3;1;5
modestus;1;2;2;5
mortifer;1;3;1;5
mugio;0;5;0;5
multiplex;1;3;1;5
multiplico;1;0;4;5
musca;2;0;3;5
narcissus;1;4;0;5
navicula;1;1;3;5
nefarius;2;2;1;5
nonnumquam;2;0;3;5
novies;0;2;3;5
nugae;1;2;2;5
numquid;1;1;3;5
nuncupo;1;1;3;5
nuto;1;4;0;5
nux;0;4;1;5
obdormio;1;0;4;5
obedientia;0;0;5;5
obses;3;1;1;5
obstipesco;0;3;2;5
obstrepo;2;3;0;5
obstruo;1;1;3;5
obtero;3;2;0;5
October;0;1;4;5
Oetaeus;0;5;0;5
olor;0;5;0;5
opprobrium;1;2;2;5
oratorius;1;0;4;5
orbus;1;4;0;5
paedagogus;3;1;1;5
paries;1;1;3;5
Parisiensis;0;0;5;5
patesco;1;3;1;5
pellis;2;3;0;5
Penplope;1;4;0;5
percurro;0;2;3;5
perfidia;2;1;2;5
perinde;3;1;1;5
perspicuus;4;0;1;5
pervius;2;2;1;5
pirata;2;0;3;5
Pollio;2;3;0;5
Pollux;0;4;1;5
Ponticus;1;4;0;5
possibilis;0;0;5;5
posteaquam;2;0;3;5
potio, n.;4;0;1;5
praecido;1;0;4;5
praeconius;0;0;5;5
praepes;0;5;0;5
praetendo;0;1;4;5
praetexo;1;4;0;5
praetor;5;0;0;5
prandeo;0;0;5;5
procido;1;0;4;5
proconsul;4;1;0;5
procus;0;5;0;5
promoveo;5;0;0;5
propitius;4;0;1;5
protendo .;2;2;1;5
protervus;0;4;1;5
proveho;2;0;3;5
psallo;0;1;4;5
psalmus;0;0;5;5
publico;2;0;3;5
pugil;0;2;3;5
pugnator;0;0;5;5
Pullo;5;0;0;5
pullus;1;0;4;5
pyramis;0;5;0;5
quadragesimus;0;0;5;5
quadriga;0;3;2;5
quadringenti;2;0;3;5
quaestor;5;0;0;5
querulus;0;4;1;5
racemus;0;3;2;5
reboo;0;5;0;5
reclinis;1;4;0;5
refoveo;1;3;1;5
reliquiae;1;0;4;5
remex;1;2;2;5
repertor;0;5;0;5
restauro;0;0;5;5
restinguo;2;2;1;5
retego;0;4;1;5
reviso;0;3;2;5
rhetor;1;2;2;5
rogito.;2;0;3;5
Romulidae;0;0;5;5
roto;0;5;0;5
sacculus;1;0;4;5
sacrifico;1;0;4;5
sacrilegus;0;4;1;5
Sallustius;4;0;1;5
sanctitas;0;0;5;5
sanguineus;1;4;0;5
sarcina;2;0;3;5
satago;0;0;5;5
Satyrus;0;4;1;5
Saxonicus;0;0;5;5
scrinium;0;2;3;5
September;2;0;3;5
severitas;4;1;0;5
Sicanus;0;5;0;5
simplicitas;0;5;0;5
somnio;0;0;5;5
sordeo;0;5;0;5
sordes;1;2;2;5
spelunca;0;2;3;5
spica;0;5;0;5
spumo;0;4;1;5
stello;0;5;0;5
stilus;0;2;3;5
stipendium;2;1;2;5
stipes;0;4;1;5
stipo;0;5;0;5
strideo;0;5;0;5
subitus;0;3;2;5
submergo;1;2;2;5
subnixus;1;4;0;5
subveho;1;0;4;5
succumbo;1;4;0;5
sudis;2;1;2;5
sulco;0;3;2;5
Sulpicius;0;5;0;5
superbia;0;3;2;5
tabella;0;5;0;5
Tagus;0;5;0;5
tametsi;3;0;2;5
Tantalus;0;5;0;5
temeritas;4;1;0;5
Tempe;0;5;0;5
temporalis;0;0;5;5
tergeo;2;2;1;5
testimonium;3;0;2;5
Thomas;0;0;5;5
Thraces;1;4;0;5
thyrsus;0;5;0;5
titubo;0;3;2;5
Titus;3;1;1;5
togatus;2;3;0;5
torpor;0;2;3;5
Torquatus;1;4;0;5
torvus;0;5;0;5
trama;1;3;1;5
trano;2;3;0;5
transversus;3;0;2;5
triarii;5;0;0;5
tribunal;3;1;1;5
tristor;1;1;3;5
Triton;0;5;0;5
trivius;0;3;2;5
tumeo;0;5;0;5
tundo;0;4;1;5
Tyrrhenius;0;3;2;5
ultor;1;3;1;5
ululatus;3;1;1;5
uterus;1;2;2;5
vapor;1;3;1;5
vasculum;1;0;4;5
vegetus;2;2;1;5
vehiculum;4;0;1;5
veneratio;2;0;3;5
Verona;0;5;0;5
verumtamen;0;0;5;5
vervex;0;0;5;5
vimen;1;3;1;5
visio;0;0;5;5
vixdum;2;3;0;5
