Latin	English	Declension	Gender	Total	Prose	Poetry	NomSg	NomPl	GenSg	GenPl	DatSg	DatPl	AccSg	AccPl	AblSg	AblPl	VocSg	VocPl	LocSg	LocPl
torus	swelling, bulge	2	m	98	11	87	torus	torī	torī	torōrum	torō	torīs	torum	torōs	torō	torīs	tore	torī		
pons	bridge	3	m	97	85	12	pōns	pontēs	pontis	pontium	pontī	pontibus	pontem	pontēs	ponte	pontibus	pōns	pontēs		
sonus	sound, noise, pitch	2	m	97	52	45	sonus	sonī	sonī	sonōrum	sonō	sonīs	sonum	sonōs	sonō	sonīs	sone	sonī		
leo	lion	3	m	97	41	56	leō	leōnēs	leōnis	leōnum	leōnī	leōnibus	leōnem	leōnēs	leōne	leōnibus	leō	leōnēs		
carcer	prison, jail	3	m	96	64	32	carcer	carcerēs	carceris	carcerum	carcerī	carceribus	carcerem	carcerēs	carcere	carceribus	carcer	carcerēs		
corona	garland, crown	1	f	96	58	38	corōna	corōnae	corōnae	corōnārum	corōnae	corōnīs	corōnam	corōnās	corōnā	corōnīs	corōna	corōnae		
nota	mark, sign	1	f	96	52	44	nota	notae	notae	notārum	notae	notīs	notam	notās	notā	notīs	nota	notae		
altum	the deep, the sea	2	n	96	51	45	altum	alta	altī	altōrum	altō	altīs	altum	alta	altō	altīs	altum	alta		
regia	royal palace, castle	1	f	95	69	26	rēgia	rēgiae	rēgiae	rēgiārum	rēgiae	rēgiīs	rēgiam	rēgiās	rēgiā	rēgiīs	rēgia	rēgiae		
avis	bird	3	f	94	40	54	avis	avēs	avis	avium	avī	avibus	avem	avēs/avīs	ave/avī	avibus	avis	avēs		
foris	door, gate, opening	3	f	94	33	61	foris	forēs	foris	forium	forī	foribus	forem	forēs	fore	foribus	foris	forēs		
cor	heart	3	n	94	26	68	cor	corda	cordis	cordium/cordum	cordī	cordibus	cor	corda	corde	cordibus	cor	corda		
domina	lady, mistress	1	fh	94	16	78	domina	dominae	dominae	dominārum	dominae	dominīs	dominam	dominās	dominā	dominīs	domina	dominae		
fastigium	peak, summit, top, slope	2	n	93	79	14	fastīgium	fastīgia	fastīgiī	fastīgiōrum	fastīgiō	fastīgiīs	fastīgium	fastīgia	fastīgiō	fastīgiīs	fastīgium	fastīgia		
epulae	feast, banquet, dishes, meat	1	f	93	68	25	-	epulae	-	epulārum	-	epulīs	-	epulās	-	epulīs	-	epulae		
venia	indulgence, kindness, mercy, grace	1	f	93	63	30	venia	veniae	veniae	veniārum	veniae	veniīs	veniam	veniās	veniā	veniīs	venia	veniae		
palus	swamp, marsh	3	f	93	60	33	palūs	palūdēs	palūdis	palūdum	palūdī	palūdibus	palūdem	palūdēs	palūde	palūdibus	palūs	palūdēs		
crinis	hair of the head, lock of hair, plume	3	m	93	13	80	crīnis	crīnēs	crīnis	crīnium	crīnī	crīnibus	crīnem	crīnēs	crīne	crīnibus	crīnis	crīnēs		
rumor	rumor, rustle, murmuring	3	m	92	77	15	rūmor	rūmōrēs	rūmōris	rūmōrum	rūmōrī	rūmōribus	rūmōrem	rūmōrēs	rūmōre	rūmōribus	rūmor	rūmōrēs		
saltus	leap, jump (le défilé)	4	m	92	55	37	saltus	saltūs	saltūs	saltuum	saltuī	saltibus	saltum	saltūs	saltū	saltibus	saltus	saltūs		
versus	furrow, verse, line	4	m	92	45	47	versus	versūs	versūs	versuum	versuī	versibus	versum	versūs	versū	versibus	versus	versūs		
meritum	merit, service, value	2	n	91	69	22	meritum	merita	meritī	meritōrum	meritō	meritīs	meritum	merita	meritō	meritīs	meritum	merita		
tyrannus	ruler, monarch	2	mh	91	54	37	tyrannus	tyrannī	tyrannī	tyrannōrum	tyrannō	tyrannīs	tyrannum	tyrannōs	tyrannō	tyrannīs	tyranne	tyrannī		
avus	grandfather, ancestor	2	mh	91	48	43	avus	avī	avī	avōrum	avō	avīs	avum	avōs	avō	avīs	ave	avī		
aevum	time, eternity, lifetime	2	n	91	41	50	aevum	aeva	aevī	aevōrum	aevō	aevīs	aevum	aeva	aevō	aevīs	aevum	aeva		
flos	flower	3	m	91	27	64	flōs	flōrēs	flōris	flōrum	flōrī	flōribus	flōrem	flōrēs	flōre	flōribus	flōs	flōrēs		
cinis	cold ashes	3	m	91	17	74	cinis	cinerēs	cineris	cinerum	cinerī	cineribus	cinerem	cinerēs	cinere	cineribus	cinis	cinerēs		
vena	vein, blood vessel, artery	1	f	90	52	38	vēna	vēnae	vēnae	vēnārum	vēnae	vēnīs	vēnam	vēnās	vēnā	vēnīs	vēna	vēnae		
triumphus	triumph, celebration	2	m	90	44	46	triumphus	triumphī	triumphī	triumphōrum	triumphō	triumphīs	triumphum	triumphōs	triumphō	triumphīs	triumphe	triumphī		
lacus	lake, pond	4	m	90	40	50	lacus	lacūs	lacūs	lacuum	lacuī	lacubus	lacum	lacūs	lacū	lacubus	lacus	lacūs		
bos	cow, full, ox	3	m, f	90	23	67	bōs	bovēs	bovis	boum	bovī	bōbus/būbus	bovem	bovēs	bove	bōbus/būbus	bōs	bovēs		
aestas	summer	3	f	89	60	29	aestās	aestātēs	aestātis	aestātum	aestātī	aestātibus	aestātem	aestātēs	aestāte	aestātibus	aestās	aestātēs		
poeta	poet	1	mh	89	52	37	poēta	poētae	poētae	poētārum	poētae	poētīs	poētam	poētās	poētā	poētīs	poēta	poētae		
nex	murder, slaughter, killing	3	f	89	45	44	nex	necēs	necis	necum	necī	necibus	necem	necēs	nece	necibus	nex	necēs		
spolium	skin or hide of an animal, booty, prey, spoil	2	n	89	36	53	spolium	spolia	spoliī	spoliōrum	spoliō	spoliīs	spolium	spolia	spoliō	spoliīs	spolium	spolia		
lectus	bed	2	m	89	30	59	lectus	lectī	lectī	lectōrum	lectō	lectīs	lectum	lectōs	lectō	lectīs	lecte	lectī		
cantus	song, chant, singing	4	m	89	29	60	cantus	cantūs	cantūs	cantuum	cantuī	cantibus	cantum	cantūs	cantū	cantibus	cantus	cantūs		
iuventus	youth	3	f	88	58	30	iuventūs	iuventūtēs	iuventūtis	iuventūtum	iuventūtī	iuventūtibus	iuventūtem	iuventūtēs	iuventūte	iuventūtibus	iuventūs	iuventūtēs		
verber	lash, whip	3	n	88	49	39	verber	verbera	verberis	verberum	verberī	verberibus	verber	verbera	verbere	verberibus	verber	verbera		
vadum	shallow, ford, shoal, sea, stream	2	n	88	37	51	vadum	vada	vadī	vadōrum	vadō	vadīs	vadum	vada	vadō	vadīs	vadum	vada		
hospes	host, guest, visitor, stranger	3	mh	88	36	52	hospes	hospitēs	hospitis	hospitum	hospitī	hospitibus	hospitem	hospitēs	hospite	hospitibus	hospes	hospitēs		
imber	rain, storm, stormcloud	3	m	88	34	54	imber	imbrēs	imbris	imbrium	imbrī	imbribus	imbrem	imbrēs	imbre	imbribus	imber	imbrēs		
luna	moon	1	f	87	46	41	lūna	lūnae	lūnae	lūnārum	lūnae	lūnīs	lūnam	lūnās	lūnā	lūnīs	lūna	lūnae		
gemitus	groan, sigh, pain, sorrow	4	m	87	41	46	gemitus	gemitūs	gemitūs	gemituum	gemituī	gemitibus	gemitum	gemitūs	gemitū	gemitibus	gemitus	gemitūs		
mensis	month	3	m	86	60	26	mēnsis	mēnsēs	mēnsis	mēnsium	mēnsī	mēnsibus	mēnsem	mēnsēs	mēnse	mēnsibus	mēnsis	mēnsēs		
arcus	arc, bow, rainbow	4	m	86	20	66	arcus	arcūs	arcūs	arcuum	arcuī	arcubus	arcum	arcūs	arcū	arcubus	arcus	arcūs		
servitium	slavery, servitude	2	n	85	65	20	servitium	servitia	servitiī	servitiōrum	servitiō	servitiīs	servitium	servitia	servitiō	servitiīs	servitium	servitia		
viscus	internal organ, entrails, viscera	3	n	85	36	49	viscus	viscera	visceris	viscerum	viscerī	visceribus	viscus	viscera	viscere	visceribus	viscus	viscera		
minister	attendant, servant, waiter	2	mh	84	60	24	minister	ministrī	ministrī	ministrōrum	ministrō	ministrīs	ministrum	ministrōs	ministrō	ministrīs	minister/ministre	ministrī		
stirps	rootstock, plant, shrub, lineage, stock	3	f	84	47	37	stirps	stirpēs	stirpis	stirpium	stirpī	stirpibus	stirpem	stirpēs	stirpe	stirpibus	stirps	stirpēs		
digitus	finger, toe, digit	2	m	84	38	46	digitus	digitī	digitī	digitōrum	digitō	digitīs	digitum	digitōs	digitō	digitīs	digite	digitī		
tympanum	drum	2	n	83	68	15	tympanum	tympana	tympanī	tympanōrum	tympanō	tympanīs	tympanum	tympana	tympanō	tympanīs	tympanum	tympana		
tabula	tablet, board or plank	1	f	83	58	25	tabula	tabulae	tabulae	tabulārum	tabulae	tabulīs	tabulam	tabulās	tabulā	tabulīs	tabula	tabulae		
venter	belly, body, trunk, stomach	3	m	83	57	26	venter	ventrēs	ventris	ventrium	ventrī	ventribus	ventrem	ventrēs	ventre	ventribus	venter	ventrēs		
nix	snow	3	f	83	37	46	nix	nivēs	nivis	nivium	nivī	nivibus	nivem	nivēs	nive	nivibus	nix	nivēs		
fletus	weeping, tears	4	m	83	19	64	flētus	flētūs	flētūs	flētuum	flētuī	flētibus	flētum	flētūs	flētū	flētibus	flētus	flētūs		
formido	fear, alarm, fright, terror	3	f	82	66	16	formīdo	formīdinēs	formīdinis	formīdinum	formīdinī	formīdinibus	formīdinem	formīdinēs	formīdine	formīdinibus	formīdo	formīdinēs		
foedus	treaty, agreement, contract, league	3	n	82	47	35	foedus	foedera	foederis	foederum	foederī	foederibus	foedus	foedera	foedere	foederibus	foedus	foedera		
exsul	person who is exiled, exile, wanderer	3	mh, fh	81	45	36	exsul	exsulēs	exsulis	exsulum	exsulī	exsulibus	exsulem	exsulēs	exsule	exsulibus	exsul	exsulēs		
ortus	sunrise	4	m	81	31	50	ortus	ortūs	ortūs	ortuum	ortuī	ortibus	ortum	ortūs	ortū	ortibus	ortus	ortūs		
laetitia	great joy, gladness, pleasure, delight	1	f	80	63	17	laetitia	laetitiae	laetitiae	laetitiārum	laetitiae	laetitiīs	laetitiam	laetitiās	laetitiā	laetitiīs	laetitia	laetitiae		
merces	pay, wages, reward	3	f	80	52	28	mercēs	mercēdēs	mercēdis	mercēdum	mercēdī	mercēdibus	mercēdem	mercēdēs	mercēde	mercēdibus	mercēs	mercēdēs		
capillus	hair (a single hair), head of hair	2	m	80	26	54	capillus	capillī	capillī	capillōrum	capillō	capillīs	capillum	capillōs	capillō	capillīs	capille	capillī		
lucus	a grove sacred to a deity, a wood	2	m	80	24	56	lūcus	lūcī	lūcī	lūcōrum	lūcō	lūcīs	lūcum	lūcōs	lūcō	lūcīs	lūce	lūcī		
origo	beginning, origin	3	f	78	57	21	orīgō	orīginēs	orīginis	orīginum	orīginī	orīginibus	orīginem	orīginēs	orīgine	orīginibus	orīgō	orīginēs		
aer	air	3	m, f	78	13	65	āēr	āerēs	āeris/āeros	āerum	āerī	āeribus	āera/āerem	āerēs/āera	āere	āeribus	āēr	āerēs		
pestis	disease, plague, pest	3	f	77	31	46	pestis	pestēs	pestis	pestium	pestī	pestibus	pestem	pestēs	peste	pestibus	pestis	pestēs		
aspectus	act of seeing or looking at something, look, sight, vision	4	m	76	59	17	aspectus	aspectūs	aspectūs	aspectuum	aspectuī	aspectibus	aspectum	aspectūs	aspectū	aspectibus	aspectus	aspectūs		
agger	rampart, bulwark, dam	3	m	76	54	22	agger	aggerēs	aggeris	aggerum	aggerī	aggeribus	aggerem	aggerēs	aggere	aggeribus	agger	aggerēs		
sacerdos	priest, priestess, cleric	3	mh, fh	76	40	36	sacerdōs	sacerdōtēs	sacerdōtis	sacerdōtum	sacerdōtī	sacerdōtibus	sacerdōtem	sacerdōtēs	sacerdōte	sacerdōtibus	sacerdōs	sacerdōtēs		
stella	star, planet	1	f	76	38	38	stēlla	stēllae	stēllae	stēllārum	stēllae	stēllīs	stēllam	stēllās	stēllā	stēllīs	stēlla	stēllae		
poculum	a drinking cup	2	n	76	20	56	pōculum	pōcula	pōculī	pōculōrum	pōculō	pōculīs	pōculum	pōcula	pōculō	pōculīs	pōculum	pōcula		
palma	palm of the hand, blade of an oar, palm tree, date	1	f	76	11	65	palma	palmae	palmae	palmārum	palmae	palmīs	palmam	palmās	palmā	palmīs	palma	palmae		
hasta	spear, lance, pike	1	f	75	54	21	hasta	hastae	hastae	hastārum	hastae	hastīs	hastam	hastās	hastā	hastīs	hasta	hastae		
sitis	thirst	3	f	75	44	31	sitis	-	sitis	-	sitī	-	sitem/sitim	-	site/sitī	-	sitis	-		
penas	home, hearth	3	m	75	36	39	penās	penātēs	penātis	penātum	penātī	penātibus	penātem	penātēs	penāte	penātibus	penās	penātēs		
frons	leaves, foliage	3	f	75	15	60	frons	frondēs	fondis	fondium	frondī	frondibus	frondem	frondēs	fronde	frondibus	frons	frondēs		
puppis	stern, poop of a ship	3	f	75	11	64	puppis	puppēs	puppis	puppium	puppī	puppibus	puppem/puppim	puppēs/puppīs	puppe/puppī	puppibus	puppis	puppēs		
vallis	valley, vale	3	f	74	30	44	vallis	vallēs	vallis	vallium	vallī	vallibus	vallem	vallēs	valle	vallibus	vallis	vallēs		
remus	oar	2	m	74	24	50	rēmus	rēmī	rēmī	rēmōrum	rēmō	rēmīs	rēmum	rēmōs	rēmō	rēmīs	rēme	rēmī		
rus	countryside, country, farm, village	3	n	74	15	59	rūs	rūra	rūris	rūrum	rūrī	rūribus	rūs	rūra	rūre	rūribus	rūs	rūra	rūrī	rūribus
ala	wing, armpit	1	f	73	26	47	āla	ālae	ālae	ālārum	ālae	ālīs	ālam	ālās	ālā	ālīs	āla	ālae		
regina	queen, princess	1	fh	73	22	51	rēgīna	rēgīnae	rēgīnae	rēgīnārum	rēgīnae	rēgīnīs	rēgīnam	rēgīnās	rēgīnā	rēgīnīs	rēgīna	rēgīnae		
axis	wagon, the North Pole, board, plank	3	m	72	31	41	axis	axēs	axis	axium	axī	axibus	axem	axēs	axe	axibus	axis	axēs		
vitis	vine	3	f	72	17	55	vītis	vītēs	vītis	vītium	vītī	vītibus	vītem	vītēs	vīte	vītibus	vītis	vītēs		
semen	seed	3	n	71	36	35	sēmen	sēmina	sēminis	sēminum	sēminī	sēminibus	sēmen	sēmina	sēmine	sēminibus	sēmen	sēmina		
serpens	serpent, snake	3	f	71	22	49	serpēns	serpentēs	serpentis	serpentum	serpentī	serpentibus	serpentem	serpentēs	serpente	serpentibus	serpēns	serpentēs		
merum	wine unmixed with water, neat wine	2	n	71	21	50	merum	mera	merī	merōrum	merō	merīs	merum	mera	merō	merīs	merum	mera		
nauta	sailor	1	mh	71	11	60	nauta	nautae	nautae	nautārum	nautae	nautīs	nautam	nautās	nautā	nautīs	nauta	nautae		
artifex	artist, actor, craftsman	3	mh, fh	70	50	20	artifex	artificēs	artificis	artificum	artificī	artificibus	artificem	artificēs	artifice	artificibus	artifex	artificēs		
mulier	woman, female, wife	3	fh	70	47	23	mulier	mulierēs	mulieris	mulierum	mulierī	mulieribus	mulierem	mulierēs	muliere	mulieribus	mulier	mulierēs		
genu	knee	4	n	70	42	28	genū	genua	genūs	genuum	genū	genibus	genū	genua	genū	genibus	genū	genua		
effigies	copy, imitation, likeness	5	f	69	52	17	effigiēs	effigiēs	effigiēī	effigiērum	effigiēī	effigiēbus	effigiem	effigiēs	effigiē	effigiēbus	effigiēs	effigiēs		
calor	heat, warmth	3	m	68	48	20	calor	calōrēs	calōris	calōrum	calōrī	calōribus	calōrem	calōrēs	calōre	calōribus	calor	calōrēs		
aedes	temple, shrine, tomb	3	f	68	47	21	aedēs	aedēs	aedis	aedium	aedī	aedibus	aedem	aedēs	aede	aedibus	aedēs	aedēs		
iuventa	youth	1	f	68	46	22	iuventa	iuventae	iuventae	iuventārum	iuventae	iuventīs	iuventam	iuventās	iuventā	iuventīs	iuventa	iuventae		
catena	chain	1	f	68	34	34	catēna	catēnae	catēnae	catēnārum	catēnae	catēnīs	catēnam	catēnās	catēnā	catēnīs	catēna	catēnae		
frux	produce, crop, fruit	3	f	68	28	40	frūx	frūgēs	frūgis	frūgum	frūgī	frūgibus	frūgem	frūgēs	frūge	frūgibus	frūx	frūgēs		
pavor	act of trembling, quaking, fear, alarm, terror	3	m	67	52	15	pavor	pavōrēs	pavōris	pavōrum	pavōrī	pavōribus	pavōrem	pavōrēs	pavōre	pavōribus	pavor	pavōrēs		
querela	complaint, grievance, illness, lament	1	f	67	33	34	querēla	querēlae	querēlae	querēlārum	querēlae	querēlīs	querēlam	querēlās	querēlā	querēlīs	querēla	querēlae		
magister	teacher, master	2	mh	67	24	43	magister	magistrī	magistrī	magistrōrum	magistrō	magistrīs	magistrum	magistrōs	magistrō	magistrīs	magister/magistre	magistrī		
cliens	customer, client	3	mh, fh	66	50	16	cliēns	clientēs	clientis	clientium	clientī	clientibus	clientem	clientēs	cliente	clientibus	cliēns	clientēs		
simulacrum	image, likeness	2	n	66	47	19	simulācrum	simulācra	simulācrī	simulācrōrum	simulācrō	simulācrīs	simulācrum	simulācra	simulācrō	simulācrīs	simulācrum	simulācra		
rector	guide, leader, director	3	mh	66	38	28	rector	rectōrēs	rectōris	rectōrum	rectōrī	rectōribus	rectōrem	rectōrēs	rectōre	rectōribus	rector	rectōrēs		
humor	liquid, fluid, humour	3	m	66	35	31	hūmor	hūmōrēs	hūmōris	hūmōrum	hūmōrī	hūmōribus	hūmōrem	hūmōrēs	hūmōre	hūmōribus	hūmor	hūmōrēs		
cena	dinner	1	f	65	37	28	cēna	cēnae	cēnae	cēnārum	cēnae	cēnīs	cēnam	cēnās	cēnā	cēnīs	cēna	cēnae		
seges	cornfield	3	f	65	15	50	seges	segetēs	segetis	segetum	segetī	segetibus	segetem	segetēs	segete	segetibus	seges	segetēs		
focus	hearth, fireplace	2	m	65	12	53	focus	focī	focī	focōrum	focō	focīs	focum	focōs	focō	focīs	foce	focī		
villa	villa, estate, farm	1	f	64	49	15	vīlla	vīllae	vīllae	vīllārum	vīllae	vīllīs	vīllam	vīllās	vīllā	vīllīs	vīlla	vīllae		
infans	infant	3	mh, fh	64	43	21	īnfāns	īnfantēs	īnfantis	īnfantium	īnfantī	īnfantibus	īnfantem	īnfantēs	īnfante	īnfantibus	īnfāns	īnfantēs		
fabula	discourse, narrative, fable, tale, story	1	f	64	42	22	fābula	fābulae	fābulae	fābulārum	fābulae	fābulīs	fābulam	fābulās	fābulā	fābulīs	fābula	fābulae		
patruus	paternal uncle, father's brother	2	mh	64	37	27	patruus	patruī	patruī	patruōrum	patruō	patruīs	patruum	patruōs	patruō	patruīs	patrue	patruī		
theatrum	theatre, theater, playhouse, stage	2	n	63	45	18	theātrum	theātra	theātrī	theātrōrum	theātrō	theātrīs	theātrum	theātra	theātrō	theātrīs	theātrum	theātra		
radix	root, radish	3	f	63	44	19	rādīx	rādīcēs	rādīcis	rādīcum	rādīcī	rādīcibus	rādīcem	rādīcēs	rādīce	rādīcibus	rādīx	rādīcēs		
coetus	union, meeting	4	m	63	43	20	coetus	coetūs	coetūs	coetuum	coetuī	coetibus	coetum	coetūs	coetū	coetibus	coetus	coetūs		
frenum	bridle, harness, curb	2	n	62	21	41	frēnum	frēna	frēnī	frēnōrum	frēnō	frēnīs	frēnum	frēna	frēnō	frēnīs	frēnum	frēna		
pulvis	dust, powder	3	m	62	21	41	pulvis	pulverēs	pulveris	pulverum	pulverī	pulveribus	pulverem	pulverēs	pulvere	pulveribus	pulvis	pulverēs		
bellua	beast	1	f	61	45	16	bellua	belluae	belluae	belluārum	belluae	belluīs	belluam	belluās	belluā	belluīs	bellua	belluae		
funis	rope, cord, line	3	m	61	39	22	fūnis	fūnēs	fūnis	fūnium	fūnī	fūnibus	fūnem	fūnēs	fūne	fūnibus	fūnis	fūnēs		
hortus	garden	2	m	61	37	24	hortus	hortī	hortī	hortōrum	hortō	hortīs	hortum	hortōs	hortō	hortīs	horte	hortī		
omen	omen	3	n	61	27	34	ōmen	ōmina	ōminis	ōminum	ōminī	ōminibus	ōmen	ōmina	ōmine	ōminibus	ōmen	ōmina		
sepulcrum	grave, burial place, tomb, sepulchre	2	n	61	19	42	sepulcrum	sepulcra	sepulcrī	sepulcrōrum	sepulcrō	sepulcrīs	sepulcrum	sepulcra	sepulcrō	sepulcrīs	sepulcrum	sepulcra		
osculum	kiss	2	n	61	16	45	osculum	oscula	osculī	osculōrum	osculō	osculīs	osculum	oscula	osculō	osculīs	osculum	oscula		
rogus	funeral pile, grave	2	m	61	15	46	rogus	rogī	rogī	rogōrum	rogō	rogīs	rogum	rogōs	rogō	rogīs	roge	rogī		
ver	spring (season)	3	n	61	13	48	vēr	vēra	vēris	vērum	vērī	vēribus	vēr	vēra	vēre	vēribus	vēr	vēra		
monumentum	reminder, memorial, monument	2	n	59	40	19	monumentum	monumenta	monumentī	monumentōrum	monumentō	monumentīs	monumentum	monumenta	monumentō	monumentīs	monumentum	monumenta		
specus	cave, chasm, abyss	4	m	59	32	27	specus	specūs	specūs	specuum	specuī	specubus	specum	specūs	specū	specubus	specus	specūs		
odor	smell, perfume, stench	3	m	59	30	29	odor	odōrēs	odōris	odōrum	odōrī	odōribus	odōrem	odōrēs	odōre	odōribus	odor	odōrēs		
spons	free will, accord, impulse	3	f	58	41	17	spōns	-	spontis	-	spontī	-	spontem	-	sponte	-	spōns	-		
furtum	theft	2	n	58	28	30	fūrtum	fūrta	fūrtī	fūrtōrum	fūrtō	fūrtīs	fūrtum	fūrta	fūrtō	fūrtīs	fūrtum	fūrta		
trabs	timber, beam, trunk	3	f	57	19	38	trabs	trabēs	trabis	trabum	trabī	trabibus	trabem	trabēs	trabe	trabibus	trabs	trabēs		
fetus	bearing, birth, offspring, young, fruit	4	m	57	12	45	fētus	fētūs	fētūs	fētuum	fētuī	fētibus	fētum	fētūs	fētū	fētibus	fētus	fētūs		
favor	good will, inclination, favor	3	m	56	45	11	favor	favōrēs	favōris	favōrum	favōrī	favōribus	favōrem	favōrēs	favōre	favōribus	favor	favōrēs		
pellex	concubine, mistress	3	fh	56	26	30	pellex	pellicēs	pellicis	pellicum	pellicī	pellicibus	pellicem	pellicēs	pellice	pellicibus	pellex	pellicēs		
cubile	bed, couch	3	n	56	25	31	cubīle	cubīlia	cubīlis	cubīlium	cubīlī	cubīlibus	cubīle	cubīlia	cubīlī	cubīlibus	cubīle	cubīlia		
armentum	herd of cattle, head of cattle, cattle	2	n	56	17	39	armentum	armenta	armentī	armentōrum	armentō	armentīs	armentum	armenta	armentō	armentīs	armentum	armenta		
nequitia	bad moral quality, idleness, negligence	1	f	55	42	13	nēquitia	nēquitiae	nēquitiae	nēquitiārum	nēquitiae	nēquitiīs	nēquitiam	nēquitiās	nēquitiā	nēquitiīs	nēquitia	nēquitiae		
strepitus	wild din, noise, crash	4	m	55	35	20	strepitus	strepitūs	strepitūs	strepituum	strepituī	strepitibus	strepitum	strepitūs	strepitū	strepitibus	strepitus	strepitūs		
pignus	pledge, mortgage, hostage, wager	3	n	55	32	23	pignus	pignora	pignoris	pignorum	pignorī	pignoribus	pignus	pignora	pignore	pignoribus	pignus	pignora		
adulter	adulterer, adulteress	2	mh	55	31	24	adulter	adulterī	adulterī	adulterōrum	adulterō	adulterīs	adulterum	adulterōs	adulterō	adulterīs	adulter/adultere	adulterī		
fremitus	angry murmur, humming	4	m	54	38	16	fremitus	fremitūs	fremitūs	fremituum	fremituī	fremitibus	fremitum	fremitūs	fremitū	fremitibus	fremitus	fremitūs		
arbiter	witness, spectator, judge, arbitrator	2	mh	54	36	18	arbiter	arbitrī	arbitrī	arbitrōrum	arbitrō	arbitrīs	arbitrum	arbitrōs	arbitrō	arbitrīs	arbiter/arbitre	arbitrī		
delicia	delight, pet	1	f	54	36	18	dēlicia	dēliciae	dēliciae	dēliciārum	dēliciae	dēliciīs	dēliciam	dēliciās	dēliciā	dēliciīs	dēlicia	dēliciae		
radius	ray (of light), staff, rod, spoke (of a wheel)	2	m	54	29	25	radius	radiī	radiī	radiōrum	radiō	radiīs	radium	radiōs	radiō	radiīs	radie	radiī		
latebra	hiding place, retreat, lair	1	f	54	27	27	latēbra	latēbrae	latēbrae	latēbrārum	latēbrae	latēbrīs	latēbram	latēbrās	latēbrā	latēbrīs	latēbra	latēbrae		
gemma	bud or eye of a plant, jewel	1	f	54	23	31	gemma	gemmae	gemmae	gemmārum	gemmae	gemmīs	gemmam	gemmās	gemmā	gemmīs	gemma	gemmae		
sonitus	sound	4	m	54	16	38	sonitus	sonitūs	sonitūs	sonituum	sonituī	sonitibus	sonitum	sonitūs	sonitū	sonitibus	sonitus	sonitūs		
heres	heir, heiress	3	mh, fh	53	29	24	hērēs	hērēdēs	hērēdis	hērēdum	hērēdī	hērēdibus	hērēdem	hērēdēs	hērēde	hērēdibus	hērēs	hērēdēs		
